ID,trad_male,UHCollege,UHDept,Gender,YearPhDcompleted,YearsSincePhd,H2019,salary,female_c,udept_female_c,years_c,udept_avg_years_c,h_c,udept_avg_h_c,University,unique_college,unique_dept
7eb163880016e236,1,NSM,Chemistry & Biochemistry,Male,2009,10,11,91730,-0.2,-0.02947576656775469,-5.6,-4.043222305094938,-10.600000000000001,-5.190990732845393,University11,University11: Arts and Sciences,University11: Chemistry
7eb7404747a121ee,0,CLASS,Political Science,Female,1989,30,39,144500,0.7272727272727273,0.043251506159518005,11.454545454545453,-1.0977677596403908,21.363636363636363,-9.154627096481757,University3,University3: School of Social and Behavioral Sciences,University3: Political Science
7ef00468934e5fed,0,CLASS,Political Science,Female,2015,4,5,60000,0.5,0.2705242334322453,-13.75,-1.8932223050949375,-7.75,-14.040990732845394,University8,University8: Liberal Arts,University8: Political Science
7efd69c62d828221,0,CLASS,Psychology,Female,2013,6,20,88002,0.5185185185185186,0.25200571491372675,-10.296296296296298,-3.34692600879864,-4.888888888888889,-1.9021018439565047,University6,University6: College of Liberal Arts,University6: Psychology
7f3b5668951905da,1,Engineering,Mechanical Engineering,Male,1987,32,39,187728,-0.2,-0.02947576656775469,13.533333333333335,-1.1765556384282725,9.466666666666665,2.742342600487941,University2,University2: Engineering,University2: Materials Science and Engineering
7f42e2a3635fa526,0,CLASS,Sociology,Male,1982,37,20,100863,-0.5833333333333334,0.35385756676557867,18.083333333333332,-0.7265556384282696,-7.333333333333332,0.5423426004879381,University3,University3: School of Social and Behavioral Sciences,University3: Sociology
7f4ca1dae5f150cf,0,CLASS,Psychology,Male,1995,24,54,56352,-0.37037037037037035,0.14089460380261565,4.2592592592592595,0.09751843564580298,17.407407407407405,9.801601859747201,University2,University2: Arts and Sciences,University2: Psychology
7f6a41f9a62474bf,1,Engineering,Electrical & Computer Engineering,Male,2009,10,17,104301.31,-0.1,-0.1294757665677547,-10.899999999999999,1.256777694905061,-17.049999999999997,7.259009267154603,University14,University14: Engineering and Computer Science,University14: Electrical Engineering
7f6d9b197297352c,0,CLASS,Political Science,Female,2009,10,2,76692.56,0.5833333333333333,0.18719090009891198,-6,-3.6432223050949375,-9.5,-15.290990732845394,University12,University12: College of Arts & Sciences,University12: Political Science
7f76886f9fd453d5,1,Engineering,Electrical & Computer Engineering,Male,2010,9,33,83000,-0.3333333333333333,0.10385756676557861,-5.333333333333334,-5.309888971761604,7.222222222222221,-1.0132129550676154,University17,University17: Engineering,University17: Electrical and Computer Engineering
7f945ed2ac94d3ec,0,CLASS,Psychology,Female,2002,17,46,146000,0.6875,0.0830242334322453,-3.1875,0.5442776949050625,7,12.209009267154606,University7,University7: Behavioral and Social Sciences,University7: Psychology
7fb895e8aa9f8c1e,1,NSM,Mathematics,Male,2004,15,10,112950,-0.09523809523809523,-0.13423767132965947,-9.714285714285715,5.071063409190778,-16,-0.790990732845394,University3,University3: Mathematics,University3: Applied Mathematics
7fea3a3eefc11211,1,Engineering,Mechanical Engineering,Male,1993,26,39,191083,-0.26666666666666666,0.03719090009891196,3.466666666666665,2.8901110282383975,6.06666666666667,6.142342600487936,University4,University4: Engineering and Applied Science,University4: Mechanical and Aerospace Engineering
8005ce6c89938a93,1,Engineering,Biomedical Engineering,Male,1995,24,35,145947,-0.3333333333333333,0.10385756676557861,9.333333333333334,-4.976555638428271,13.666666666666668,-5.457657399512062,University8,University8: Engineering,University8: Metallurgical Materials and Biomedical Engineering
804631e573903bdb,0,CLASS,Psychology,Male,1976,43,70,161765,-0.4666666666666667,0.23719090009891197,18.6,4.756777694905061,27.799999999999997,15.409009267154609,University3,University3: School of Social and Behavioral Sciences,University3: Psychology
8052d695e5328e27,1,NSM,Physics,Male,2008,11,20,113708,-0.2222222222222222,-0.007253544345532492,-15.333333333333332,6.690111028238395,-27.833333333333336,21.04234260048794,University4,University4: College of Physical Sciences,University4: Physics and Astronomy
806c980b6e397fcc,0,CLASS,Psychology,Male,2005,14,23,123215,-0.4666666666666667,0.23719090009891197,-10.399999999999999,4.756777694905061,-19.200000000000003,15.409009267154609,University3,University3: School of Social and Behavioral Sciences,University3: Psychology
80738800a3813b99,1,NSM,Biology & Biochemistry,Female,2011,8,15,91700,0.6341463414634146,0.13637789196883066,-14.073170731707318,2.4299484266123805,-21.585365853658537,9.794375120813143,University3,University3: New College of Interdisciplinary Arts and Sciences,University3: Biology
